Country/Region,Confirmed,Deaths,Recovered,Active,Median PCT Confirmed,Median PCT Active,Population,Lockdown Duration
Singapore,50838,27,45692,5119,0.027360058368124607,0.01808219178082182,5858322.0,56.0
Slovakia,2181,28,1616,537,0.007440897118708878,0.012572417758066168,5460109.0,51.0
Slovenia,2087,116,1733,238,0.006696428571428603,0.015981735159817267,2078989.0,51.0
Somalia,3196,93,1543,1560,0.008412309097534765,0.002001695742247178,15965848.0,
South Africa,452529,7067,274925,170537,0.05360576016888463,0.05839866114683345,59436725.0,36.0
South Korea,14203,300,13007,896,0.003755778120184905,0.0,51276977.0,0.0
South Sudan,2305,46,1175,1084,0.0,0.0,11216250.0,
Spain,272421,28432,150376,93613,0.0033882839230771067,0.00629515129186764,46757980.0,58.0
Sri Lanka,2805,11,2121,673,0.007769145394006749,0.0,21428970.0,51.0
Sudan,11424,720,5939,4765,0.024117006379337225,0.01076967240716864,44019263.0,
Suriname,1483,24,925,534,0.0,0.0,587541.0,
Sweden,79395,5700,0,73695,0.021786012939571275,0.02125048636676552,10110233.0,0.0
Switzerland,34477,1978,30900,1599,0.003208923274873321,0.019950580728569256,8665615.0,55.0
Syria,674,40,0,634,0.008097298714922596,0.0,17571053.0,
Taiwan*,462,7,440,15,0.0,0.0,,
Tajikistan,7235,60,6028,1147,0.014067025237898267,-0.004006410256410242,9573310.0,
Tanzania,509,21,183,305,0.0,0.0,60012400.0,0.0
Thailand,3297,58,3111,128,0.0015979546180888704,0.0,69830779.0,39.0
Timor-Leste,24,0,0,24,0.0,0.0,1322667.0,
Togo,874,18,607,249,0.012994374813056653,0.0,8310934.0,
Trinidad and Tobago,148,8,128,12,0.0,0.0,1400283.0,76.0
Tunisia,1455,50,1157,248,0.005111409696562541,0.009509695868457846,11839918.0,43.0
Turkey,227019,5630,210469,10920,0.008034213923566735,-0.005142422751866937,84495243.0,28.0
US,4290259,148011,1325804,2816444,0.018682664691683337,0.01965473410560925,,
Uganda,1128,2,986,140,0.013513513513513598,0.022222222222222143,45974931.0,
Ukraine,67096,1636,37202,28258,0.023478432144967476,0.01827888353739926,43686577.0,55.0
United Arab Emirates,59177,345,52510,6322,0.015955068738124467,0.0018760050026800368,9910892.0,33.0
United Kingdom,301708,45844,1437,254427,0.01575406032482607,0.015096582466567643,67948282.0,83.0
Uruguay,1202,35,951,216,0.00932642487046631,0.0,3475842.0,0.0
Uzbekistan,21209,121,11674,9414,0.0326943431729978,0.0390350877192982,33551824.0,
Venezuela,15988,146,9959,5883,0.03560337114443257,0.04351479842487149,28421581.0,117.0
Vietnam,431,0,365,66,0.0,0.0,97490013.0,
West Bank and Gaza,10621,78,3752,6791,0.024861878453038777,0.03056768558951961,,
Western Sahara,10,1,8,1,0.0,0.0,599769.0,
Yemen,1691,483,833,375,0.017985611510791477,0.018324607329842868,29935468.0,
Zambia,4552,140,2815,1597,0.012896266697655867,0.0,18468257.0,
Zimbabwe,2704,36,542,2126,0.026782871696911736,0.016928880570827087,14899771.0,94.0
